"from" "to"
"Gebietsfläche(qkm)" "Area (qkm)"
"Altersgruppe (unter 3 bis 75 u.m.)" "Age group (under 3 to 75 u.m.)"
"Insgesamt-Insgesamt" "Overall-Overall"
"Insgesamt-männlich" "Overall male"
"Ingesamt-weiblich" "Overall female"
"Deutsche-Insgesamt" "German total"
"Deutsche-männlich" "German male"
"Deutsche-beibich" "German-beibich"
"Ausländer(innen)-Insgesamt" "Foreigners - total"
"Ausländer(innen)-männlich" "Foreigners - male"
"Ausländer(innen)-weiblich" "Foreigners - female"
"Insgesamt" "All in all"
"männlich" "male"
"weiblich" "Female"
"Wohngebäude-(nach Anzahl der Wohnungen)-Insgesamt" "Residential buildings (by number of apartments) - total"
"Wohngebäude-(nach Anzahl der Wohnungen)-1 Wohnung" "Residential building (according to the number of apartments) -1 apartment"
"Wohngebäude-(nach Anzahl der Wohnungen)-2 Wohnungen" "Residential buildings- (according to number of apartments) -2 apartments"
"mit 3 und mehr Wohnungen" "with 3 and more apartments"
"Wohnungen in Wohngebäuden-in Wohngebäuden-Insgesamt" "Apartments in residential buildings-in residential buildings-Total"
"Wohnungen in Wohngebäuden-in Wohngebäuden-1 Wohnung" "Apartments in residential buildings-in residential buildings-1 apartment"
"Wohnungen in Wohngebäuden-in Wohngebäuden-2 Wohnungen" "Apartments in residential buildings-in residential buildings-2 apartments"
"Wohnungen in Wohngebäuden-in Wohngebäuden-mit 3 und mehr Wohnungen" "Apartments in residential buildings - in residential buildings - with 3 and more apartments"
"Wohnfläche(1000 qm)" "Living space (1000 sqm)"
"Nichtwohngebäude(Anzahl)" "Non-residential buildings (number)"
"Nutzfläche(100 qm)" "Usable area (100 sqm)"
"Wohnungen(Anzahl)" "Apartments (number)"
"1 oder 2 Räume" "1 or 2 rooms"
"3 Räume" "3 rooms"
"4 Räume" "4 rooms"
"5 oder mehr Räume" "5 or more rooms"
"Gebäudearten" "Building types"
"Neue Nichtwohngebäude(Anzahl)" "New non-residential buildings (number)"
"Nutzfläche in neuen Nichtwohngebäuden(100 qm)" "Usable area in new non-residential buildings (100 sqm)"
"Wohnungen in neuen Nichtwohngebäuden(Anzahl)" "Apartments in new non-residential buildings (number)"
"Gebäude-(nach Anzahl der Wohnungen)-Insgesamt" "Buildings (by number of apartments) total"
"Gebäude-(nach Anzahl der Wohnungen)-1 Wohnung" "Building- (according to the number of apartments) -1 apartment"
"Gebäude-(nach Anzahl der Wohnungen)-2 Wohnungen" "Building (depending on the number of apartments) -2 apartments"
"Gebäude-(nach Anzahl der Wohnungen)-mit 3 und mehr Wohnungen" "Buildings (according to the number of apartments) with 3 and more apartments"
"Wohnungen-in Wohngebäuden-Insgesamt" "Apartments-in residential buildings-in total"
"Wohnungen-in Wohngebäuden-1 Wohnung" "Apartments-in residential buildings-1 apartment"
"Wohnungen-in Wohngebäuden-2 Wohnungen" "Apartments-in residential buildings-2 apartments"
"Wohnungen-in Wohngebäuden-mit 3 und mehr Wohnungen" "Apartments-in residential buildings-with 3 or more apartments"
"Nichtwohngebäude-Anzahl" "Number of non-residential buildings"
"Nutzfläche-1000 qm" "Usable area-1000 sqm"
"Wohnungen-Anzahl" "Number of apartments"
"Größe der Wohnung-Insgesamt" "Apartment size-Overall"
"Größe der Wohnung-1 oder 2 Räume" "Apartment 1 or 2 Rooms Size"
"Größe der Wohnung-3 Räume" "Apartment 3 Rooms Size"
"Größe der Wohnung-4 Räume" "Apartment 4 Rooms Size"
"Größe der Wohnung-5 oder mehr Räume" "Apartment Size 5 or more rooms"
"Neue Nichtwohngebäude" "New non-residential buildings"
"Wohnungen in neuen Nichtwohngebäuden" "Apartments in new non-residential buildings"
"Gebäude nach Anzahl der Wohnungen-Insgesamt" "Buildings by number of apartments-total"
"Gebäude nach Anzahl der Wohnungen-1 Wohnung" "Buildings by number of apartments-1 apartment"
"Gebäude nach Anzahl der Wohnungen-2 Wohnungen" "Buildings by number of apartments-2 apartments"
"Wohnfläche in Wohngebäuden(1000 qm)" "Living space in residential buildings (1000 sqm)"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Insgesamt" "Apartments in residential and non-residential buildings-Size of the apartment-Total"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Wohnungen mit 1 Raum" "Apartments in residential and non-residential buildings - size of apartment-apartments with 1 room"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Wohnungen mit 2 Räumen" "Apartments in residential and non-residential buildings-size of apartment-apartments with 2 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Wohnungen mit 3 Räumen" "Apartments in residential and non-residential buildings-size of apartment-apartments with 3 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Wohnungen mit 4 Räumen" "Apartments in residential and non-residential buildings-size of apartment-apartments with 4 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Wohnungen mit 5 Räumen" "Apartments in residential and non-residential buildings-size of apartment-apartments with 5 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Wohnungen mit 6 Räumen" "Apartments in residential and non-residential buildings-size of apartment-apartments with 6 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-Größe der Wohnung-Wohnungen mit 7 Räumen oder mehr" "Apartments in residential and non-residential buildings - size of apartment-apartments with 7 rooms or more"
"Räume in Wohnungen mit 7 oder mehr Räumen" "Rooms in apartments with 7 or more rooms"
"Wohngebäude-(nach Anzahl der Wohnungen)-Wohngebäude mit 1 Wohnung" "Residential building (according to the number of apartments) - Residential building with 1 apartment"
"Wohngebäude-(nach Anzahl der Wohnungen)-Wohngebäude mit 2 Wohnungen" "Residential building (according to the number of apartments) - Residential building with 2 apartments"
"Wohngebäude-(nach Anzahl der Wohnungen)-Wohngebäude mit 3 und mehr Wohnungen" "Residential buildings (according to the number of apartments) - Residential buildings with 3 and more apartments"
"Wohngebäude-(nach Anzahl der Wohnungen)-Wohnheime" "Residential buildings (by number of apartments) residential homes"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Insgesamt" "Apartments in residential and non-residential buildings- (size of the apartment) -total"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Wohnungen mit 1 Raum" "Apartments in residential and non-residential buildings (size of the apartment) apartments with 1 room"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Wohnungen mit 2 Räumen" "Apartments in residential and non-residential buildings (size of the apartment) apartments with 2 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Wohnungen mit 3 Räumen" "Apartments in residential and non-residential buildings (size of the apartment) apartments with 3 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Wohnungen mit 4 Räumen" "Apartments in residential and non-residential buildings (size of the apartment) apartments with 4 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Wohnungen mit 5 Räumen" "Apartments in residential and non-residential buildings (size of the apartment) apartments with 5 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Wohnungen mit 6 Räumen" "Apartments in residential and non-residential buildings (size of the apartment) apartments with 6 rooms"
"Wohnungen in Wohn- und Nichtwohngebäuden-(Größe der Wohnung)-Wohnungen mit 7 Räumen oder mehr" "Apartments in residential and non-residential buildings (size of the apartment) apartments with 7 rooms or more"
"Räume in Wohnungen mit 7 und mehr Räumen" "Rooms in apartments with 7 or more rooms"
"Bodenfläche" "Floor area"
"Siedlungs- und Verkehrsfläche" "Settlement and traffic areas"
"Gebäude- und Freifläche-Insgesamt" "Total building and open space"
"Gebäude- und Freifläche-Wohnen" "Building and open space living"
"Gebäude- und Freifläche-Gewerbe, Industrie" "Building and open space trade, industry"
"Betriebsfläche (ohne Abbauland)" "Plant area (without mining land)"
"Erholungsfläche-Insgesamt" "Total recreational area"
"Erholungsfläche-Grünanlage" "Recreation area green area"
"Erholungsfläche-Friedhofsfläche" "Recreational area-cemetery area"
"Verkehrsfläche-Insgesamt" "Total traffic area"
"Verkehrsfläche-Straße, Weg, Platz" "Traffic area - street, path, square"
"Landwirtschaftsfläche-Insgesamt" "Total agricultural area"
"Landwirtschaftsfläche-Moor" "Agricultural land bog"
"Landwirtschaftsfläche-Heide" "Agricultural land heathland"
"Waldfläche" "Forest area"
"Wasserfläche" "Water surface"
"Abbauland" "Mining land"
"Flächen anderer Nutzung (ohne Friedhofsfläche)-Insgesamt" "Areas of other use (excluding cemetery area) - total"
"Flächen anderer Nutzung (ohne Friedhofsfläche)-Unland" "Areas of other use (excluding cemetery area) -Unland"
"insgesamt" "all in all"
"Siedlung" "settlement"
"Verkehr" "traffic"
"Vegetation-Insgesamt" "Vegetation-Overall"
"Vegetation-Landwirtschaft" "Vegetation agriculture"
"Vegetation-Wald" "Vegetation forest"
"Vegetation-Gehölz" "Vegetation wood"
"Vegetation-Heide" "Vegetation heather"
"Vegetation-Moor" "Vegetation bog"
"Vegetation-Sumpf" "Vegetation swamp"
"Vegetation-Unland, Vegetationslose Fläche" "Unland vegetation, area without vegetation"
"Gewässer-Insgesamt" "Total waters"
